stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening C:\Users\admin\Desktop\for this shit\towerdef\bin\Debug\allegro5.cfg r
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08082] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08084] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08085] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08086] added dtor for sample_instance 02C89690, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08088] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08089] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08090] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08094] added dtor for sample_instance 02C8BB08, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08095] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08096] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08097] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08098] added dtor for sample_instance 02C8B478, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08100] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08101] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08102] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08104] added dtor for sample_instance 02C8C288, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08112] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08114] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08115] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08116] added dtor for sample_instance 02C8C648, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08118] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08119] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08120] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08121] added dtor for sample_instance 02C8AB18, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08122] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08124] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08125] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08126] added dtor for sample_instance 02C8A938, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08127] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08129] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08130] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08131] added dtor for sample_instance 02C8AA28, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08132] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08133] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08135] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08136] added dtor for sample_instance 02C8C378, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08138] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08140] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08141] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08142] added dtor for sample_instance 02C8AC08, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08144] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08145] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08146] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08147] added dtor for sample_instance 02C8AED8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08148] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08150] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08151] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08152] added dtor for sample_instance 02C8ACF8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08153] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08154] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08155] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08157] added dtor for sample_instance 02C8ADE8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08158] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08159] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08160] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08161] added dtor for sample_instance 02C8BFB8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08169] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08171] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08172] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08173] added dtor for sample_instance 02C8AFC8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08174] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08175] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08176] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08177] added dtor for sample_instance 02C8B0B8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08179] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08180] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08181] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08182] added dtor for sample_instance 02C8BBF8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08184] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08185] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08186] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08187] added dtor for sample_instance 02C8B1A8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08189] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08190] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08191] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08193] added dtor for sample_instance 02C8B298, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08194] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08195] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08197] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08198] added dtor for sample_instance 02C8B568, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08200] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08201] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08202] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08203] added dtor for sample_instance 02C8B388, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08204] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08206] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08207] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08208] added dtor for sample_instance 02C8BCE8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08209] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08210] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08211] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08213] added dtor for sample_instance 02C8B658, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08214] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08215] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08216] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08217] added dtor for sample_instance 02C8BA18, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08219] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08220] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08221] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08223] added dtor for sample_instance 02C8C0A8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08224] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08226] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08227] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08228] added dtor for sample_instance 02C8C468, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08230] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08231] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08232] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08234] added dtor for sample_instance 02C8B748, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08235] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08236] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08237] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08239] added dtor for sample_instance 02C8C198, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08240] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08241] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08242] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08243] added dtor for sample_instance 02C8BDD8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08245] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08246] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08247] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08248] added dtor for sample_instance 02C8BEC8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08249] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08250] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08251] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08252] added dtor for sample_instance 02C8C558, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08254] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08255] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08256] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08257] added dtor for sample_instance 02C8B838, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08259] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08260] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08261] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08263] added dtor for sample_instance 02C8B928, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08265] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08266] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08267] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08268] added dtor for sample_instance 02C8C738, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08270] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08271] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08272] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08276] added dtor for sample_instance 02C8F090, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08278] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08279] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08280] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08281] added dtor for sample_instance 02C8D740, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08284] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08285] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08286] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08288] added dtor for sample_instance 02C8E820, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08290] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08291] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08292] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08293] added dtor for sample_instance 02C8E730, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08295] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08296] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08297] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08298] added dtor for sample_instance 02C8EEB0, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08300] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08301] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08302] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08304] added dtor for sample_instance 02C8E0A0, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08305] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08306] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08307] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08309] added dtor for sample_instance 02C8F180, func 61DBB8F3
