stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening C:\Users\admin\Desktop\for this shit\towerdef\bin\Debug\allegro5.cfg r
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08352] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08352] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08353] added dtor for sample_instance 02C2B138, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08354] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08355] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08355] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08356] added dtor for sample_instance 02C2AC88, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08356] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08357] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08358] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08358] added dtor for sample_instance 02C29D88, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08359] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08360] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08360] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08361] added dtor for sample_instance 02C2AF58, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08362] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08362] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08363] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08363] added dtor for sample_instance 02C29C98, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08364] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08365] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08365] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08366] added dtor for sample_instance 02C29E78, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08367] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08367] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08368] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08369] added dtor for sample_instance 02C2AD78, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08370] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08370] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08371] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08372] added dtor for sample_instance 02C2A9B8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08372] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08373] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08374] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08374] added dtor for sample_instance 02C2B228, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08375] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08376] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08376] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08379] added dtor for sample_instance 02C2B8B8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08387] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08389] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08390] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08392] added dtor for sample_instance 02C2B4F8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08393] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08394] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08395] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08396] added dtor for sample_instance 02C29BA8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08397] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08399] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08400] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08401] added dtor for sample_instance 02C2B048, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08402] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08403] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08404] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08405] added dtor for sample_instance 02C29F68, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08407] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08408] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08409] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08410] added dtor for sample_instance 02C2B318, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08412] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08413] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08414] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08415] added dtor for sample_instance 02C2B5E8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08416] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08418] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08419] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08420] added dtor for sample_instance 02C2A418, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08421] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08422] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08423] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08424] added dtor for sample_instance 02C2B6D8, func 61DBB8F3
